condition,share_of_test_overs,share_of_worst_100,lift,mae_when_true,mae_when_false,n
extras_of_two_or_more,0.08768724881256851,0.24,2.7369999999999997,4.300088406588012,3.837025867393124,240
two_or_more_boundaries,0.3792473511143588,0.84,2.2149132947976877,4.423858679401617,3.5439137723619045,1038
powerplay,0.3112897332846182,0.45,1.445598591549296,4.068170128765348,3.7915086783839143,852
sparse_bowler_history_under_120_balls,0.15929850200949947,0.19,1.192729357798165,4.1028373669100935,3.8349577212033696,436
unseen_batter_bowler_matchup,0.45597369382535624,0.43,0.943036858974359,3.8776086322011465,3.8776489156982703,1248
death_overs,0.2257946656923639,0.21,0.9300485436893204,4.017666948923287,3.8367893506499113,618
new_batter_under_6_balls,0.33357690902447934,0.29,0.8693647316538883,3.7521421575676452,3.9404435409004903,913
second_innings_chase,0.48301059554256487,0.39,0.8074357034795764,3.8469228826974455,3.9063199699899163,1322
sparse_batter_history_under_120_balls,0.1286079649251005,0.09,0.6998011363636363,3.7359941613650705,3.8985345340298734,352
required_rate_at_least_12,0.12020460358056266,0.08,0.6655319148936171,4.188057012172459,3.835217629342614,329
wicket_fell,0.2776762879064669,0.13,0.468171052631579,4.183901652711123,3.7598935520492165,760
