feature,mae_increase,std
current_score,0.05772511024075581,0.016456012836256587
runs_required,0.053336238259447555,0.009973877361546658
chase_target,0.05144839042165635,0.0029293870055609773
required_run_rate,0.045388603097043546,0.003423437053115603
innings,0.04362124052900107,0.004933283460043655
bowler,0.030232307982137385,0.004489353985762718
current_wickets,0.014102948278049254,0.0017087814368774484
wickets_last_5_overs,0.007913526204436305,0.002778394680921932
phase,0.007437218596090034,0.000437055159821995
wickets_last_1_overs,0.006361307386946624,0.0009092674851704493
team_bowling,0.006224674765341387,0.00046714740097393646
over_number,0.006212043507449305,0.0008704801004019661
wickets_last_2_overs,0.0061819627536482775,0.0022690459911363344
non_striker_innings_runs,0.005846754150801677,0.0027358129653068906
batter_innings_balls,0.005214144144217503,0.003124045296898545
venue_over_boundary_rate,0.004915043916995228,0.000862735353360697
batter_innings_runs,0.004434205762206951,0.0009861988791403991
balls_remaining,0.004430654962503056,0.0012154427844310782
venue_over_wicket_rate,0.004198883401202558,0.002184876434946957
non_striker_powerplay_sr,0.0034256222419074924,0.00046246880383423665
batter_matchup_six_rate,0.0033686176572708484,0.001137893280673697
non_striker_innings_balls,0.0033336029468326402,0.0015763446268902124
venue_over_run_rate,0.0030289790940466097,0.00023242425956066382
bowler_middle_economy,0.002698012062285482,0.00017489985534957744
wickets_remaining,0.002586795965898059,0.001637448181780889
non_striker_recent_10_sr,0.002339907359859931,0.001829848520928283
non_striker_innings_sr,0.002295627517142851,0.0023850986499423174
non_striker_career_boundary_rate,0.0021667642492858206,0.0004849362414468675
bowler_career_economy,0.0020607060811409874,0.000822943078228039
batter_career_boundary_rate,0.0017141706695221377,0.0003566387301893373
venue_wicket_rate,0.0016990750089459123,0.0005688397538283938
batter_career_economy,0.001333251068371825,0.00044189324166334993
bowler_career_boundary_rate,0.0012855394690970041,0.0010648745326206734
bowler_season_average,0.0011225672888877842,0.001025313831779224
non_striker_career_strike_rate,0.0011149209952646306,0.00021543966727086532
head_to_head_boundary_rate,0.001095494588021199,0.0003320392243247814
bowler_season_balls,0.0010904452440692047,0.0011178661317970055
team_batting,0.001084934503673196,0.0006927500036117757
batter_career_six_rate,0.00106846551823514,0.00027241769086343645
bowler_season_six_rate,0.0010633462552479915,0.0004812971319126025
venue_phase_balls,0.000906128304187496,0.0002829823368204958
batter_death_sr,0.0008885970387031428,0.0006456807736042901
batter_season_six_rate,0.0008793118352290463,0.0001765370840997675
non_striker_season_six_rate,0.0008724551788157342,0.00019970673072643787
batter_career_average,0.0008497677692731465,0.00071440928556481
batter_season_runs,0.0008458578780436987,0.0002760043483488334
batter_season_boundary_rate,0.0008296294793475786,0.0005722964082661993
batter_powerplay_sr,0.0007691808972594139,4.6151649468532745e-05
bowler_career_balls,0.0007463155411244019,0.0006678736133444251
bowler_career_runs,0.0007077562145695696,0.00015110989033495918
venue_over_balls,0.0006782690693040531,0.0016000275903297538
bowler_match_economy,0.0006717579196385456,0.00054669065044139
batter_recent_5_sr,0.0006366573939258954,0.0002453696625391418
bowler_recent_10_economy,0.0006002469236761065,0.0005449725321397803
bowler_match_legal_balls,0.0005995828550703722,0.0004899343724403765
bowler_career_outs,0.0005754968079315267,0.00037960112130069694
runs_last_6_deliveries,0.0005745751612378965,0.00016926178853909264
batter_career_runs,0.000535964788834035,0.00035430918956536376
team_balls,0.0005242416334298264,0.0002066461514533969
batter_matchup_strike_rate,0.00051500907433318,0.00018941489277534296
team_wicket_rate,0.0004992775863311335,0.00037506526621708603
non_striker_matchup_outs,0.0004920701885528326,0.0006743934251079368
opposition_balls,0.00047360101826369555,0.0010983593356964458
bowler_death_economy,0.0004646072603427716,0.0005505729754355704
non_striker_recent_5_sr,0.00045993637127095255,0.00011031002100066488
non_striker_recent_10_mean_runs,0.00045422822891053965,0.00016760629272977176
bowler_career_dot_rate,0.00038362724627427625,0.00018194782517982932
non_striker_matchup_dot_rate,0.0003828894571095513,0.00012233842403605466
non_striker_career_six_rate,0.0003660810390188433,0.0004402346286057725
batter_career_strike_rate,0.0003625440227200312,0.00012385602092448552
venue_boundary_rate,0.0003580801031892733,0.0015007112732382537
runs_last_24_deliveries,0.0003523058774910955,0.00023652338788010964
head_to_head_run_rate,0.00034610912783517023,0.0002285329103032612
batter_recent_10_sr,0.0003401268499504025,0.0007808955699473282
non_striker_career_average,0.00033285609737706184,0.000258460138040463
bowler_season_boundary_rate,0.00033259167740447754,0.00018429200031741015
batter_career_outs,0.00031174037264921256,0.00023456632225053308
dot_rate_last_24_deliveries,0.00027659151671510784,0.00029293288696716224
batter_season_strike_rate,0.0002603113941465433,0.0007527960985569605
boundaries_last_5_overs,0.00025848538540174104,0.00044973567980032615
batter_matchup_average,0.000249554817722449,0.0004964139370485383
batter_career_balls,0.0002445414868987861,0.000653126606019726
batter_middle_sr,0.00023819853948052008,0.0006928213955457159
head_to_head_balls,0.00023592892251593037,6.545796713451174e-05
venue,0.0002142240821897031,0.0009542533621849052
non_striker_season_average,0.00021230529612544421,0.00034642377637169355
non_striker_death_sr,0.00019999991188364893,4.304524786625891e-05
bowler_career_six_rate,0.0001752558576183875,0.00042660049348956455
non_striker_recent_5_mean_runs,0.0001715460519293721,0.0004978292264122047
wickets_last_3_overs,0.00016484744563675471,0.0004739551741447768
batter_season_average,0.00014732568881529554,0.0003909233706661413
non_striker_season_balls,0.00014295649214772035,0.00016231486698171983
non_striker_season_dot_rate,0.00013423052611842104,0.0004349336613049409
head_to_head_wicket_rate,0.00013186812153579788,0.000248009167494851
batter_season_economy,0.0001310327307512497,0.0004509335490337808
runs_last_1_overs,0.00012641650912836866,0.0001792928635697212
batter_matchup_runs,0.00012470052720174132,0.00024087459837871658
non_striker_career_runs,8.998128820610536e-05,3.013149725555473e-05
team_run_rate,7.894372956673834e-05,0.00011144068125758931
runs_last_5_overs,6.791648971334514e-05,0.00046517694936620564
non_striker_matchup_strike_rate,6.650675935275056e-05,0.00020265133528910524
batter_recent_5_mean_runs,6.270332158904897e-05,0.00017553400087070642
non_striker_matchup_economy,3.25468006424264e-05,0.0005356705794609601
venue_phase_boundary_rate,3.09481574958248e-05,0.003055242382693453
batter_season_balls,2.5791961122253088e-05,0.00029621062666635107
non_striker_matchup_runs,2.422290390520961e-05,0.00023701924912521
batter_matchup_outs,2.388336401389542e-05,2.813196107249028e-05
bowler_match_conceded,1.846681039774367e-05,0.00042705442446317257
dot_rate_last_18_deliveries,8.716297587252342e-06,0.0003273005712394429
runs_last_2_overs,3.777945215925153e-09,0.0009290384347564409
competition,0.0,0.0
opposition_wicket_rate,-6.184075342178612e-06,7.447025048572992e-05
batter_matchup_boundary_rate,-1.3100799412857356e-05,4.116651564418771e-05
bowler_recent_5_economy,-1.5617674065548925e-05,0.0005509314549645425
venue_run_rate,-1.694213387685532e-05,0.0005086330095566516
batter_recent_10_mean_runs,-1.7425723393878673e-05,0.00022870510948278227
non_striker_career_dot_rate,-2.3105985608692e-05,0.00012693955869503973
non_striker_career_balls,-2.6103245282479055e-05,4.3343289970662135e-05
bowler_season_dot_rate,-3.037117893459988e-05,0.0004166868967916283
