draws,state,seed,latency_ms,expected_runs,probability_15_plus,probability_20_plus,wicket_probability,p2.5,p10,p20,p25,p50,p75,p80,p90,p95,p97.5
1000,powerplay,1,601.1829999997644,7.07,0.053,0.005,0.231,1.0,2.0,3.0,4.0,7.0,9.0,10.0,12.0,15.0,16.0
1000,powerplay,2,624.0111999995861,7.044,0.042,0.003,0.261,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,15.0
1000,powerplay,3,685.1769000004424,7.176,0.053,0.005,0.256,1.0,2.0,4.0,4.0,7.0,9.0,10.0,12.0,15.0,17.0
1000,middle,1,567.8715000003649,7.339,0.066,0.009,0.203,2.0,3.0,4.0,4.0,7.0,10.0,11.0,13.0,15.0,17.0
1000,middle,2,552.5434999999561,7.198,0.054,0.004,0.245,1.0,3.0,3.0,4.0,7.0,10.0,10.0,13.0,15.0,16.0
1000,middle,3,546.1199999999735,7.264,0.055,0.007,0.243,1.0,3.0,4.0,4.0,7.0,10.0,11.0,13.0,15.0,16.0
1000,death,1,707.8486999998859,9.199,0.147,0.039,0.354,1.0,3.0,5.0,5.0,9.0,12.0,13.0,17.0,19.0,21.0
1000,death,2,734.6084000000701,9.06,0.15,0.019,0.418,1.0,3.0,5.0,5.0,9.0,12.0,13.0,16.0,17.0,19.0
1000,death,3,698.7919000002876,9.203,0.16,0.034,0.401,1.0,3.0,5.0,5.0,9.0,13.0,14.0,16.0,18.0,20.0
1000,low_pressure_chase,1,614.9707000004128,7.07,0.053,0.005,0.231,1.0,2.0,3.0,4.0,7.0,9.0,10.0,12.0,15.0,16.0
1000,low_pressure_chase,2,602.5751000006494,7.044,0.042,0.003,0.261,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,15.0
1000,low_pressure_chase,3,583.2491000001028,7.176,0.053,0.005,0.256,1.0,2.0,4.0,4.0,7.0,9.0,10.0,12.0,15.0,17.0
1000,high_pressure_chase,1,676.3411000001724,8.253,0.104,0.013,0.289,2.0,3.0,4.0,5.0,8.0,11.0,12.0,15.0,17.0,18.0
1000,high_pressure_chase,2,626.905799999804,8.165,0.08,0.012,0.343,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
1000,high_pressure_chase,3,642.2693000004074,8.224,0.089,0.008,0.336,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
1000,high_scoring_state,1,657.4164000003293,11.692,0.302,0.1,0.276,2.0,4.0,6.0,7.0,11.0,16.0,17.0,19.100000000000023,22.0,24.0
1000,high_scoring_state,2,619.4844000001467,11.866,0.308,0.093,0.324,2.9750000000000014,5.0,7.0,8.0,12.0,16.0,17.0,19.0,22.0,24.0
1000,high_scoring_state,3,657.6702000002115,11.953,0.295,0.102,0.327,3.0,5.0,7.0,8.0,12.0,15.25,17.0,20.0,22.0,24.0
1000,low_scoring_state,1,593.2411999992837,6.765,0.049,0.005,0.222,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
1000,low_scoring_state,2,523.6038000002736,6.846,0.039,0.004,0.245,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,15.0
1000,low_scoring_state,3,608.3582000001115,6.894,0.044,0.004,0.25,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
2500,powerplay,1,818.7730999998166,7.044,0.048,0.0044,0.2428,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
2500,powerplay,2,814.0524999998888,7.0124,0.0436,0.0048,0.2508,1.0,2.0,4.0,4.0,7.0,9.0,10.0,12.0,14.0,16.0
2500,powerplay,3,904.4711000005918,7.0472,0.0504,0.0064,0.2408,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,15.0,16.0
2500,middle,1,849.5273999997153,7.1984,0.0596,0.0076,0.2272,2.0,3.0,4.0,4.0,6.0,10.0,10.0,13.0,15.0,17.0
2500,middle,2,837.3228000000381,7.2616,0.0568,0.0088,0.2296,1.0,3.0,4.0,4.0,7.0,10.0,10.0,13.0,15.0,16.0
2500,middle,3,807.3279999998704,7.2244,0.0572,0.0096,0.2232,1.0,3.0,4.0,4.0,7.0,10.0,10.0,13.0,15.0,16.0
2500,death,1,928.7823999993634,9.0504,0.1488,0.0368,0.3912,1.0,3.0,4.0,5.0,8.0,12.0,13.0,16.0,19.0,21.0
2500,death,2,915.6001000001197,9.122,0.1492,0.0372,0.3988,1.0,3.0,5.0,5.0,9.0,12.0,13.0,16.0,18.0,20.0
2500,death,3,858.4247999997388,9.0172,0.154,0.0356,0.3984,1.0,3.0,4.0,5.0,8.0,12.0,13.0,16.0,18.0,20.0
2500,low_pressure_chase,1,799.0246999997908,7.044,0.048,0.0044,0.2428,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
2500,low_pressure_chase,2,839.8632999997062,7.0124,0.0436,0.0048,0.2508,1.0,2.0,4.0,4.0,7.0,9.0,10.0,12.0,14.0,16.0
2500,low_pressure_chase,3,877.9818000002706,7.0472,0.0504,0.0064,0.2408,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,15.0,16.0
2500,high_pressure_chase,1,946.3949000000866,8.1704,0.0896,0.0124,0.3304,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
2500,high_pressure_chase,2,897.681499999635,8.0764,0.0784,0.012,0.3356,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
2500,high_pressure_chase,3,983.1367999995564,8.112,0.086,0.0144,0.3268,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
2500,high_scoring_state,1,982.0813999995153,11.7352,0.31,0.0948,0.3124,2.4750000000000014,5.0,7.0,7.0,11.0,16.0,17.0,19.0,22.0,24.0
2500,high_scoring_state,2,1037.8444999996645,11.7608,0.2824,0.0956,0.324,3.0,5.0,7.0,8.0,11.0,15.0,16.0,19.0,22.0,24.0
2500,high_scoring_state,3,1005.4442999999083,11.7284,0.2908,0.0964,0.3116,2.0,5.0,7.0,8.0,11.0,15.0,16.0,19.0,22.0,24.0
2500,low_scoring_state,1,835.5950999994093,6.8348,0.0428,0.0052,0.2268,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
2500,low_scoring_state,2,817.6745000000665,6.7904,0.0388,0.0056,0.2404,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,15.0
2500,low_scoring_state,3,783.1278000003294,6.7864,0.0456,0.0064,0.2268,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
5000,powerplay,1,1193.4568000006038,7.0756,0.0496,0.0048,0.2398,1.0,2.0,3.0,4.0,7.0,10.0,10.0,13.0,14.0,16.0
5000,powerplay,2,1189.1935000003286,7.1336,0.048,0.0044,0.2412,1.0,2.0,3.0,4.0,7.0,10.0,10.0,13.0,14.0,16.0
5000,powerplay,3,1174.9454000000696,7.051,0.0494,0.0052,0.2404,1.0,2.0,3.0,4.0,7.0,10.0,10.0,13.0,14.0,16.0
5000,middle,1,1224.2399000006117,7.2688,0.059,0.0086,0.2216,1.0,3.0,4.0,4.0,7.0,10.0,11.0,13.0,15.0,17.0
5000,middle,2,1193.9047999994727,7.3422,0.0558,0.0096,0.2262,1.0,3.0,4.0,4.0,7.0,10.0,11.0,13.0,15.0,17.0
5000,middle,3,1223.6063000000286,7.2832,0.0584,0.0096,0.2174,1.0,3.0,4.0,4.0,7.0,10.0,11.0,13.0,15.0,17.0
5000,death,1,1311.010399999759,9.1494,0.1584,0.0358,0.3978,1.0,3.0,4.0,5.0,9.0,12.0,13.0,16.0,19.0,20.0
5000,death,2,1243.5551999997188,9.1818,0.1548,0.0344,0.3978,1.0,3.0,5.0,5.0,9.0,12.0,13.0,16.0,19.0,20.0
5000,death,3,1354.7553999997035,9.1158,0.151,0.0358,0.392,1.0,3.0,4.0,5.0,9.0,12.0,13.0,16.0,19.0,21.0
5000,low_pressure_chase,1,1208.4446999997454,7.0756,0.0496,0.0048,0.2398,1.0,2.0,3.0,4.0,7.0,10.0,10.0,13.0,14.0,16.0
5000,low_pressure_chase,2,1196.2463999998363,7.1336,0.048,0.0044,0.2412,1.0,2.0,3.0,4.0,7.0,10.0,10.0,13.0,14.0,16.0
5000,low_pressure_chase,3,1180.8270999999877,7.051,0.0494,0.0052,0.2404,1.0,2.0,3.0,4.0,7.0,10.0,10.0,13.0,14.0,16.0
5000,high_pressure_chase,1,1317.9584999998042,8.2312,0.0938,0.0112,0.3186,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
5000,high_pressure_chase,2,1415.1554999998552,8.22,0.0884,0.0116,0.3308,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
5000,high_pressure_chase,3,1404.4372999996995,8.1604,0.0892,0.0126,0.3224,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
5000,high_scoring_state,1,1317.2718000005261,11.818,0.3012,0.1006,0.3126,2.0,5.0,7.0,8.0,11.0,16.0,17.0,20.0,22.0,24.0
5000,high_scoring_state,2,1458.073300000251,11.8182,0.3088,0.0972,0.3164,2.0,5.0,7.0,8.0,11.0,16.0,17.0,19.0,22.0,24.0
5000,high_scoring_state,3,1432.707599999958,11.766,0.2978,0.0976,0.3066,2.0,5.0,7.0,8.0,11.0,15.0,17.0,19.0,22.0,24.0
5000,low_scoring_state,1,1159.3839999995907,6.8338,0.0432,0.0046,0.226,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
5000,low_scoring_state,2,1227.6194999994914,6.8952,0.0462,0.0054,0.228,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
5000,low_scoring_state,3,1321.9583999998576,6.8032,0.0418,0.0056,0.2284,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
10000,powerplay,1,2683.176900000035,7.0857,0.0441,0.005,0.2367,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
10000,powerplay,2,2505.731399999604,7.0527,0.0427,0.0042,0.2429,1.0,2.0,3.0,4.0,7.0,9.0,10.0,12.0,14.0,16.0
10000,powerplay,3,2137.4955000001137,7.1113,0.0482,0.0049,0.2445,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
10000,middle,1,3025.0630000000456,7.2712,0.0577,0.0081,0.2229,1.0,3.0,4.0,4.0,7.0,10.0,11.0,13.0,15.0,17.0
10000,middle,2,1969.0164999992703,7.2362,0.0552,0.0079,0.2264,1.0,3.0,4.0,4.0,7.0,10.0,10.0,13.0,15.0,17.0
10000,middle,3,2022.7768999993714,7.2664,0.0567,0.008,0.2324,1.0,3.0,4.0,4.0,7.0,10.0,11.0,13.0,15.0,17.0
10000,death,1,2238.023699999758,9.1268,0.1522,0.0354,0.3952,1.0,3.0,5.0,5.0,8.0,12.0,13.0,16.0,18.0,20.0
10000,death,2,2183.5998999995354,9.0528,0.1436,0.0354,0.3968,1.0,3.0,4.0,5.0,8.0,12.0,13.0,16.0,19.0,20.0
10000,death,3,2303.353000000243,9.1647,0.1563,0.0359,0.393,1.0,3.0,4.0,5.0,9.0,12.0,13.0,16.0,19.0,20.0
10000,low_pressure_chase,1,1977.762000000439,7.0857,0.0441,0.005,0.2367,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
10000,low_pressure_chase,2,2055.5403999996997,7.0527,0.0427,0.0042,0.2429,1.0,2.0,3.0,4.0,7.0,9.0,10.0,12.0,14.0,16.0
10000,low_pressure_chase,3,1997.5814999997965,7.1113,0.0482,0.0049,0.2445,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
10000,high_pressure_chase,1,2139.8075999995854,8.1622,0.0883,0.0115,0.3246,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
10000,high_pressure_chase,2,2221.335499999441,8.1662,0.0877,0.0112,0.3242,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
10000,high_pressure_chase,3,2138.5643000003256,8.1776,0.0902,0.0122,0.3246,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
10000,high_scoring_state,1,2239.1116999997394,11.8002,0.3007,0.0965,0.3123,2.0,5.0,7.0,8.0,11.0,15.0,16.0,19.0,22.0,24.0
10000,high_scoring_state,2,2127.2539000001416,11.7247,0.2862,0.0925,0.3131,2.0,5.0,7.0,8.0,11.0,15.0,16.0,19.0,22.0,24.0
10000,high_scoring_state,3,2253.0787999994573,11.8261,0.3059,0.0952,0.3151,2.0,5.0,7.0,8.0,11.0,16.0,17.0,19.0,22.0,24.0
10000,low_scoring_state,1,1967.8291999998692,6.8177,0.0406,0.0056,0.2259,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
